Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
Alexandre de Moraes vendeu as eleições 2022 para o PT em “escândalo” divulgado por Roberto Jefferson #boato,10/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alexandre-de-moraes-vendeu-eleicoes-2022-para-pt-escandalo-divulgado-roberto-jefferson.html
Responda pesquisa eleitoral para presidente em 2022 compartilhando link no WhatsApp #boato,10/9/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/responda-pesquisa-eleitoral-para-presidente-em-2022-compartilhando-link-no-whatsapp.html
Justiça eleitoral fecha igreja católica em Quatro Marcos (cidade próxima a Mirassol) #boato,10/10/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/justica-eleitoral-fecha-igreja-quatro-marcos.html
Vídeo mostra presidiários comemorando vitória de Lula no 1º turno das eleições #boato,10/10/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/video-mostra-presidiarios-comemorando-vitoria-lula-no-1o-turno-eleicoes.html
Geddel Vieira Lima teve um infarto e resolveu gravar um vídeo denunciando Lula #boato,10/10/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/geddel-vieira-lima-teve-infarto-resolveu-gravar-video-denunciando-lula.html
Lula diz que dará prazo para que todos entreguem armas de forma espontânea #boato,10/10/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-dara-prazo-para-todos-entreguem-armas-forma-espontanea.html
Alexandre de Moraes diz que eleitores de Lula não precisam votar no 2º turno #boato,10/11/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alexandre-moraes-eleitores-lula-2o-turno.html
Lula ameaça Zema ao dizer frase sobre “remorso” e “tomar cuidado” #boato,10/11/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-ameaca-zema-dizer-frase-sobre-remorso-e-tomar-cuidado.html
"Prefeito de Alcobaça, do PT, é preso após denúncia de corrupção, mostra vídeo #boato",10/12/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/prefeito-alcobaca-pt-preso-corrupcao.html
Bolsonaro vai levar crianças da escola para a maçonaria em troca de financiamento #boato,10/12/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-vai-levar-criancas-da-escola-para-maconaria-em-troca-de-financiamento.html
Vídeo íntimo de Nikolas Ferreira com homem vazou na internet #boato,10/12/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/video-intimo-nikolas-ferreira-com-homem-vazou-internet.html
Áudio de integrante da cúpula da Mancha Vermelha revela que Lula vai entregar o Brasil para a China depois de eleito #boato,10/12/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/audio-integrante-cupula-da-mancha-vermelha-revela-que-lula-vai-entregar-brasil-para-china-depois-eleito.html
Lula usou boné CPX no Complexo do Alemão como homenagem ao Comando Vermelho #boato,10/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-usou-bone-cpx-complexo-do-alemao-como-homenagem-ao-comando-vermelho.html
Vídeo de boletins de urna de Minas Gerais mostram fraude contra Bolsonaro nas eleições 2022 #boato,10/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/boletins-urna-minas-gerais-fraude.html
Lula diz que vai tomar fuzil de CAC se for eleito presidente #boato,10/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-vai-tomar-fuzil-de-cac-for-eleito-presidente.html
Votar em Bolsonaro (22) nas eleições 2022 é requisito para prova de vida no INSS #boato,10/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/votar-em-bolsonaro-22-nas-eleicoes-2022-requisito-para-prova-de-vida-no-inss.html
Lula diz que um “assaltozinho” na rua é uma coisa boa para quem anda a pé #boato,10/14/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-que-um-assaltozinho-na-rua-e-uma-coisa-boa.html
Bolsonaro diz que padres e bispos católicos de Aparecida têm postura arrogante em post no Twitter #boato,10/14/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-diz-que-padres-bispos-catolicos-de-aparecida-tem-postura-arrogante-post-twitter.html
Eduardo Leite declara voto para Bolsonaro nas eleições de 2022 #boato,10/14/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/eduardo-leite-declara-voto-bolsonaro-nas-eleicoes-de-2022.html
"Neymar, Gabriel Medina e Bruninho dançam música “22 é Bolsonaro” #boato",10/15/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/neymar-gabriel-medina-bruninho-dancam-musica-do-bolsonaro-22.html
José Dirceu acaba de ameaçar brasileiros cristãos e conservadores de morte #boato,10/15/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/jose-dirceu-acaba-de-ameacar-brasileiros-cristaos-conservadores-de-morte.html
Padre é agredido por bolsonaristas na cidade de Candiota (RS) #boato,10/15/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/padre-e-agredido-por-bolsonaristas-na-cidade-de-candiota-rs-boato.html
Carlos Bolsonaro foi internado por causa de uma overdose de cocaína #boato,10/15/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/carlos-bolsonaro-foi-internado-por-causa-uma-overdose-cocaina.html
"Tarcísio de Freitas está sob ameaça de atentado terrorista, diz general Heleno #boato",10/16/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tarcisio-de-freitas-esta-sob-ameaca-de-atentado-terrorista-diz-general-heleno.html
Bolsonaro ter falado “pintou um clima” prova que ele é pedófilo #boato,10/16/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-pintou-um-clima-prova-que-pedofilo.html
Militares encontram fraudes nas urnas eletrônicas em apuração paralela e não agradam TSE #boato,10/16/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/militares-encontram-fraudes-urnas-eletronicas-em-apuracao-paralela-e-nao-agradam-tse.html
PT reservou estádio Mané Garrincha para a posse de Lula em 2023 #boato,10/16/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pt-reservou-estadio-mane-garrincha-posse-de-lula-2023.html
Padre Kelmon foi integrante da banda Carrapicho #boato,10/17/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/padre-kelmon-integrante-banda-carrapicho.html
Anitta retira apoio à candidatura de Lula e pula do barco #boato,10/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/anitta-retira-apoio-a-candidatura-de-lula-e-pula-do-barco.html
Tarcísio Gomes de Freitas sofreu um atentado a mando do PT em São Paulo #boato,10/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tarcisio-gomes-de-freitas-sofreu-atentado-mando-do-pt-sao-paulo.html
Dra. Marise Valéria Santos (CRM 77.577) escreve carta a aberta a Lula #boato,10/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/dra-marise-valeria-santos-crm-77-577-escreve-carta-aberta-ladrao-lula.html
STF (TSE) proibiu a propaganda do Zé Gotinha a favor da vacinação contra poliomielite #boato,10/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/stf-tse-proibiu-propaganda-ze-gotinha.html
TSE proibiu e censurou comemorações do Dia do Médico em 2022 #boato,10/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tse-proibiu-censurou-comemoracoes-dia-do-medico-2022.html
Apoiadores de Lula compraram camisetas do Bolsonaro e Brasil para tocar o terror nas ruas #boato,10/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/apoiadores-lula-compraram-camisetas-bolsonaro-e-brasil-para-tocar-terror-ruas.html
Lula bêbado confessa tudo e depois convoca 15 advogados para tirar vídeo de redes sociais #boato,10/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-bebado-confessa-tudo-depois-convoca-15-advogados-para-tirar-video-redes-sociais.html
"Lula xinga assessora Sofia após debate da Band, mostra vídeo #boato",10/19/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-xinga-assessora-sofia-debate-band.html
Presos por “atentado” a Tarcísio em Paraisópolis estiveram com Lula no Complexo do Alemão #boato,10/19/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/presos-por-atentado-tarcisio-em-paraisopolis-estiveram-com-lula-no-complexo-do-alemao.html
Lula pede para Marcola do PCC marcar sua agenda de reuniões em São Paulo #boato,10/19/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-pede-para-marcola-do-pcc-marcar-agenda-reunioes-em-sao-paulo.html
TSE mandou fiscal para censurar programa Pânico da Jovem Pan ao vivo #boato,10/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tse-mandou-fiscal-censurar-programa-panico-da-jovem-pan-ao-vivo.html
Paraná Pesquisas está fazendo pesquisa eleitoral para presidente em questionário no site oficial #boato,10/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/parana-pesquisas-esta-fazendo-pesquisa-eleitoral-para-presidente-em-questionario-no-site-oficial.html
Lula anunciou Dilma como ministra da Economia em entrevista ao podcast Flow #boato,10/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-anunciou-dilma-como-ministra-economia-em-entrevista-podcast-flow.html
Michelle Bolsonaro esconde filha de 19 anos porque Bolsonaro não é o pai biológico #boato,10/20/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/michelle-bolsonaro-esconde-filha.html
TSE obrigou pastor André Valadão a se retratar sobre fake news contra Lula #boato,10/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tse-obrigou-pastor-andre-valadao-se-retratar-sobre-fake-news-contra-lula.html
Bolsonaro vai acabar com férias remuneradas com a MP 1045/2022 #boato,10/21/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-vai-acabar-com-ferias-remuneradas-com-mp-1045-2022.html
Arthur Lira está levando romeiros para visitar Padre Cícero no fim de semana das eleições #boato,10/21/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/arthur-lira-esta-levando-romeiros-para-visitar-padre-cicero-no-fim-de-semana-das-eleicoes.html
Texto mostra a “lista de proibições do TSE” e prova censura contra Bolsonaro #boato,10/21/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/texto-mostra-lista-proibicoes-tse-prova-censura-contra-bolsonaro.html
Lula é convidado de honra do Comando Vermelho em morros do Rio #boato,10/21/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-e-convidado-de-honra-do-comando-vermelho-em-morros-do-rio.html
PT está preocupado com Lula ser internado ou desistir da candidatura por problemas de saúde #boato,10/21/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pt-esta-preocupado-com-lula-ser-internado-ou-desistir-candidatura-por-problemas-saude.html
Vídeo mostra Lula beijando criança de sete anos na boca #boato,10/21/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/video-mostra-lula-beijando-crianca-de-sete-anos-boca.html
PT votou contra o Auxílio Brasil e Bolsonaro foi proibido de falar a verdade #boato,10/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pt-votou-contra-auxilio-brasil-bolsonaro-foi-proibido-de-falar-verdade.html
José Dirceu foi para o Chile preparar plano de fuga da cúpula do PT #boato,10/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/jose-dirceu-foi-para-chile-preparar-plano-fuga-da-cupula-do-pt.html
Lula aparece em foto com traficante Celsinho da Vila Vintém #boato,10/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-foto-traficante-celsinho-da-vila-vintem.html
Felipe Neto prometeu deixar o país e Janones prometeu renunciar se Bolsonaro quebrasse o recorde de audiência em live #boato,10/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/felipe-neto-deixar-pais-janones-renunciar-bolsonaro-quebrasse-recorde-audiencia-live.html
Marcos Valério foi convocado por Eduardo Girão e falará no Senado em 24/10 #boato,10/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/marcos-valerio-convocado-eduardo-girao-falara-senado-24-10.html
Lula defende que político tem que mentir em entrevista ao Flow #boato,10/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-defende-politico-tem-que-mentir-em-entrevista-flow.html
MST está bloqueando transposição do rio São Francisco para faltar água aos nordestinos #boato,10/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mst-esta-bloqueando-transposicao-do-rio-sao-francisco-faltar-agua-nordestinos.html
Heineken lança cerveja “Brasil 22” em homenagem a Bolsonaro #boato,10/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/heineken-lanca-cerveja-brasil-22-homenagem-bolsonaro.html
"Policial federal Karina Lino, atingida por Roberto Jefferson, estava grávida e perdeu o bebê #boato",10/24/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/policial-federal-karina-lino-atingida-por-roberto-jefferson-estava-gravida-e-perdeu-bebe.html
"Bolsonaro diz que vai fazer um corte de 25% nos salários, pensões e aposentadorias durante sabatina no SBT #boato",10/24/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-fazer-corte-25-salarios-pensoes-aposentadorias-sabatina-sbt.html
Balsa explode com funcionários bolsonaristas da fazenda de Lula no Pará #boato,10/24/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/balsa-explode-com-funcionarios-bolsonaristas-da-fazenda-de-lula-para.html
"Lula descobriu traição programada de Alckmin, Temer e Alexandre de Moraes (STF) #boato",10/24/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-descobriu-traicao-programada-de-alckmin-temer-alexandre-de-moraes.html
Gilmar Mendes é flagrado jantando com o filho de Lula (Lulinha) em restaurante na Itália #boato,10/24/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/gilmar-mendes-e-flagrado-jantando-com-o-filho-de-lula-lulinha-em-restaurante-na-italia-boato.html
Janones planeja falso atentado contra Lula na última semana de campanha #boato,10/25/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/janones-planeja-falso-atentado-contra-lula-na-ultima-semana-campanha.html
Lula pode ser preso a qualquer momento após descoberta de novo escândalo de ex-contador #boato,10/25/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-pode-ser-preso-qualquer-momento-apos-descoberta-escandalo.html
Lula garante Jean Wyllys para o Ministério da Educação #boato,10/25/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-garante-jean-wyllys-para-ministerio-da-educacao.html
Magno Malta se envolveu em briga em motel e apanhou do marido de sua amante #boato,10/26/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/magno-malta-se-envolveu-em-briga-em-motel-e-apanhou-do-marido-de-amante.html
"Aplicativo Pardal, do TSE, não recebe denúncias contra o PT #boato",10/26/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/aplicativo-pardal-tse-nao-recebe-denuncias-contra-pt.html
"Lula chama seus eleitores de “vagabundos”, “traficantes” e “bandidos” #boato",10/26/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-chama-seus-eleitores-vagabundos-traficantes-bandidos.html
Veja lança capa com o título A ameaça chamada Lula sobre “dobradinha com Alexandre de Moraes” #boato,10/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/veja-lanca-capa-com-titulo-a-ameaca-chamada-lula-sobre-dobradinha-com-alexandre-de-moraes.html
PT vai espalhar fake news que Bolsonaro estuprou menina de 14 anos na véspera da eleição #boato,10/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pt-espalhar-fake-news-bolsonaro-estuprou-menina-14-anos-vespera-eleicao.html
MST está se programando para invadir casas de veraneio em Santa Catarina #boato,10/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mst-esta-se-programando-para-invadir-casas-de-veraneio-em-santa-catarina.html
"Alice Moraes, irmã de Alexandre de Moraes, teme que ministro do STF seja preso #boato",10/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alice-moraes-irma-alexandre-de-moraes-teme-ministro-do-stf-seja-preso.html
"MST está se preparando para invadir fazendas em Blumenau (SC), mostra foto #boato",10/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mst-esta-se-preparando-para-invadir-fazendas-em-blumenau-sc-mostra-foto.html
"Ciro Gomes pede voto para Bolsonaro “22” no domingo, mostra vídeo #boato",10/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ciro-gomes-pede-voto-para-bolsonaro-22-no-domingo-mostra-video.html
Polícia Federal prende atirador de elite e evita atentado contra Bolsonaro #boato,10/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/policia-federal-prende-atirador-de-elite-evita-atentado-contra-bolsonaro.html
Tarcísio de Freitas forjou atentado em Paraisópolis para incriminar PT e Haddad #boato,10/28/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/tarcisio-de-freitas-forjou-atentado-em-paraisopolis-para-incriminar-pt-e-haddad.html
"Lula criou panfleto sobre liberdade sexual e de gênero, sindicatos fortes, aborto e outros itens #boato",10/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-criou-panfleto-sobre-liberdade-sexual-genero-sindicatos-fortes-aborto-outros-itens.html
Principais fake news de 29 de outubro de 2022 (véspera do 2º turno das eleições),10/29/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/principais-fake-news-de-29-de-outubro-de-2022-vespera-do-2o-turno-das-eleicoes.html
Barroso muda de lado e declara apoio a Bolsonaro nas eleições 2022 #boato,10/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/barroso-muda-de-lado-declara-apoio-bolsonaro-nas-eleicoes-2022.html
"O Globo recebeu do TSE resultado antecipado das eleições com vitória de Lula com 51,2% #boato",10/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/o-globo-recebeu-tse-resultado-antecipado-eleicoes-vitoria-lula.html
Lula define taxa para transações no Pix após encontro com banqueiros #boato,10/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-define-taxa-para-transacoes-no-pix-apos-encontro-com-banqueiros.html
"Lula usou ponto eletrônico durante debate da Globo, mostra vídeo #boato",10/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-usou-ponto-eletronico-durante-debate-da-globo-mostra-video.html
PF apreende R$ 985 milhões destinados à campanha de Lula #boato,10/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pf-apreende-r-985-milhoes-destinados-a-campanha-de-lula.html
"Edir Macedo diz que vai vender a Record, fechar a Universal e ir embora do Brasil se Lula vencer as eleições #boato",10/29/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/edir-macedo-diz-vai-vender-record-fechar-universal-ir-embora-do-brasil-se-lula-vencer-as-eleicoes.html
Tribunal Constitucional Militar acaba de ser criado por decreto-lei de Bolsonaro #boato,10/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tribunal-constitucional-militar-acaba-de-ser-criado-por-decreto-lei-de-bolsonaro.html
Dono da Havan (Luciano Hang) vai dar cerveja grátis se Bolsonaro vencer as eleições #boato,10/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/dono-da-havan-luciano-hang-vai-dar-cerveja-gratis-se-bolsonaro-vencer-as-eleicoes-boato.html
Lula diz que quer acabar com o MEI (regime de Microempreendedor Individual) #Boato,10/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-que-quer-acabar-com-o-mei-regime-de-microempreendedor-individual-boato.html
Janones apoia Bolsonaro nas eleições de 2022 após mudar de posição #boato,10/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/janones-apoia-bolsonaro-nas-eleicoes-2022-apos-mudar-de-posicao.html
Polícia Federal apreendeu dinheiro que seria distribuído para eleitores de Lula no Pará por Helder Barbalho #boato,10/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/policia-federal-apreendeu-dinheiro-que-seria-distribuido-para-eleitores-de-lula-no-para-por-helder-barbalho-mostra-foto.html
Petistas invadiram e depredaram restaurante Coco Bambu em Fortaleza (ou Vitória) durante festa da vitória de Lula #boato,10/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/petistas-invadiram-depredaram-restaurante-coco-bambu-em-fortaleza-vitoria-durante-festa-vitoria-lula.html
Bolsonaro recebeu relatório com fraude nas eleições em reunião e vai assinar artigo 142 com intervenção no sistema eleitoral #boato,10/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-recebeu-relatorio-fraude-eleicoes-reuniao-assinar-artigo-142-com-intervencao-sistema-eleitoral.html
Petistas invadiram e saquearam loja da Havan em Chapecó (SC) #boato,10/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/petistas-invadiram-saquearam-loja-da-havan-chapeco-sc.html
General Figueiredo fez alerta sobre criação do PT em 1980 #boato,10/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/general-figueiredo-fez-alerta-sobre-criacao-do-pt-em-1980.html
Confirmada a fraude: FFAA deve apresentar relatório da eleição nas próximas horas #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/confirmada-fraude-ffaa-deve-apresentar-relatorio-eleicao-proximas-horas.html
Intervenção Militar é decretada pelo general Villas Boas e Forças Armadas assumem o governo até fim de 2023 #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/intervencao-militar-assinada-pelo-general-villas-boas-forcas-armadas-assumem-governo-ate-fim-de-2023.html
Artigo 142 diz que o presidente tem que ficar calado por 72 horas para o povo ir às ruas #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/artigo-142-diz-presidente-tem-que-ficar-calado-72-horas-povo-ir-as-ruas.html
Luciano Hang grava áudio falando que Forças Armadas vão entregar provas da fraude nas urnas para Bolsonaro #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/luciano-hang-grava-audio-falando-forcas-armadas-vao-entregar-provas-de-fraude-urnas-para-bolsonaro.html
Fraude nas urnas no Nordeste foi comprovada e é notícia no exterior #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/fraude-nas-urnas-nordeste-foi-comprovada-e-e-noticia-no-exterior.html
Bolsonaro foi eleito com 65% dos votos e relatório vai sair em breve #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-foi-eleito-com-65-dos-votos-relatorio-vai-sair-em-breve.html
Barroso e o STF decretam o fim da propriedade privada no Brasil #boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/barroso-e-o-stf-decretam-fim-da-propriedade-privada-brasil.html
Nova moeda Peso Real será lançada por Lula no Brasil e Argentina #Boato,11/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/nova-moeda-peso-real-sera-lancado-lula-brasil-argentina.html
Alexandre de Moraes vendeu as eleições de 2022 para Lula e o PT em escândalo que todo mundo suspeitava #boato,11/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alexandre-de-moraes-vendeu-as-eleicoes-2022-para-lula-pt-em-escandalo-que-todo-mundo-suspeitava.html
"Tribunal de Haia está no Brasil para cumprir Artigo 142, decretar intervenção militar e revelar fraude nas urnas #boato",11/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tribunal-de-haia-esta-no-brasil-para-cumprir-artigo-142-decretar-intervencao-militar-e-revelar-fraude-nas-urnas.html
Pedir intervenção federal no email do ministro da Defesa e nos quartéis vai garantir Bolsonaro no poder #boato,11/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pedir-intervencao-federal-no-email-do-ministro-da-defesa-nos-quarteis-vai-garantir-golpe-favor-bolsonaro.html
"Lula entrega carta de agradecimento a Marcola do PCC, mostra vídeo #boato",11/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/marcola-entrega-carta-de-agradecimento-a-marcola-do-pcc-mostra-video.html
Modesto Carvalhosa grava áudio sobre manifestações a favor de Bolsonaro e pede intervenção militar #boato,11/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/modesto-carvalhosa-grava-audio-sobre-manifestacoes-favor-de-bolsonaro-pede-intervencao-militar.html
Michelle Bolsonaro grava áudio sobre resultado das eleições e derrota de Bolsonaro #boato,11/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/michelle-bolsonaro-grava-audio-sobre-resultado-das-eleicoes-e-derrota-de-bolsonaro.html
Polícia Federal e Exército comprovam que eleições foram fraudadas nas regiões Norte e Nordeste #boato,11/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/policia-federal-exercito-comprovam-que-eleicoes-foram-fraudadas-nas-regioes-norte-nordeste.html
STM dá 72 horas para Alexandre de Moraes explicar manipulações do TSE nas eleições 2022 #boato,11/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/stm-da-72-horas-para-alexandre-de-moraes-explicar-manipulacoes-tse-nas-eleicoes-2022.html
Jean Wyllys diz que quer banir a Bíblia do Brasil no novo governo #boato,11/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/jean-wyllys-diz-quer-banir-biblia-brasil-novo-governo.html
Carla Zambelli acabou de fugir do Brasil para não ser presa #boato,11/3/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/carla-zambelli-acabou-fugir-brasil-para-nao-ser-presa.html
"Mike Lindell está certo ao dizer que 5,1 milhões de votos foram roubados de Bolsonaro #boato",11/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mike-lindell-esta-certo-dizer-que-51-milhoes-de-votos-foram-roubados-bolsonaro.html
Geraldo Alckmin diz que a taxação do Pix é algo extremamente necessário #boato,11/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alckmin-diz-taxacao-do-pix-e-algo-extremamente-necessario.html
Greve geral no Brasil será deflagrada no dia 7 de novembro por apoiadores de Bolsonaro #boato,11/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/greve-geral-brasil-sera-deflagrada-dia-7-de-novembro-apoiadores-bolsonaro.html
