Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
Mourão escreveu texto no Estadão hoje que começa com “não vi nosso presidente proibir nem obrigar ninguém a se vacinar” #boato,8/26/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mourao-escreveu-texto-no-estadao-que-comeca-com-nao-vi-nosso-presidente-proibir-nem-obrigar-ninguem-se-vacinar.html
Lula recebeu folha com respostas da Globo em entrevista no Jornal Nacional #boato,8/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-recebeu-folha-respostas-globo-entrevista-jornal-nacional.html
Doria se arrepende e anuncia apoio a Bolsonaro nas eleições de 2022 #boato,8/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/doria-se-arrepende-anuncia-apoio-bolsonaro-nas-eleicoes-de-2022.html
Bolsonaro criou o sistema de pagamentos Pix #boato,8/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-criou-sistema-de-pagamentos-pix.html
Lula é flagrado abraçando Suzane Von Richtofen em foto #boato,8/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-flagrado-abracando-suzane-von-richtofen-foto.html
"Vera Magalhães provocou Bolsonaro de propósito em debate da Band, diz jornalista #boato",8/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/vera-magalhaes-provocou-bolsonaro-proposito-debate-da-band-diz-jornalista.html
Simone Tebet disse na CPI da Covid que dinheiro desviado por estados não deveria ser investigado #boato,8/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/simone-tebet-disse-na-cpi-da-covid-que-dinheiro-desviado-por-estados-nao-deveria-ser-investigado.html
Salário de Vera Magalhães na TV Cultura é de R$ 500 mil #boato,8/30/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/salario-vera-magalhaes-tv-cultura-r-500-mil.html
Bispo Rolando Álvarez foi (ou será) executado pelo governo da Nicarágua #boato,8/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bispo-rolando-alvarez-foi-ou-sera-executado-pelo-governo-da-nicaragua.html
Lula usou foto de missa em Taperoá (PB) para ilustrar suposto comício #boato,8/31/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-usou-foto-missa-taperoa-pb-para-ilustrar-suposto-comicio.html
Ipec que faz pesquisas eleitorais fica no mesmo endereço do Instituto Lula #boato,9/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ipec-pesquisas-eleitorais-fica-mesmo-endereco-instituto-lula.html
Simone Tebet está com bens bloqueados pela Justiça e por isso não quer investigar governadores #boato,9/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/simone-tebet-esta-com-bens-bloqueados-pela-justica-e-por-isso-nao-quer-investigar-governadores.html
"Lula está com doença grave, há choro na sede do PT e é o fim da candidatura #boato",9/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-esta-com-doenca-grave-ha-choro-na-sede-pt-e-o-fim-da-candidatura.html
"Candidatura de Lula é impugnada pelo TSE em 2022, anuncia Globo #boato",9/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/candidatura-lula-impugnada-tse-2022-anuncia-globo.html
Sede do Datafolha fica no endereço do PSOL #boato,9/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/sede-datafolha-fica-na-sede-endereco-psol.html
"Fernando André Sabag Montiel, brasileiro que tentou atirar em Cristina Kirchner, é bolsonarista #boato",9/3/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/fernando-andre-sabag-montiel-brasileiro-tentou-atirar-em-cristina-kirchner-e-bolsonarista.html
"Lula é xingado pelo público na entrada do Rock in Rio, mostra vídeo #boato",9/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-xingado-publico-entrada-rock-in-rio-mostra-video.html
Lula usou ponto eletrônico durante debate da Band #boato,9/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-usou-ponto-eletronico-durante-debate-da-band.html
Lula diz que enfermeiros só servem para servir sopa e se posicionou contra piso salarial #boato,9/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-que-enfermeiros-so-servem-para-servir-sopa-se-posicionou-contra-piso-salarial.html
Alexandre de Moraes mandou colocar snipers no 7 de setembro em Brasília #boato,9/6/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/alexandre-de-moraes-mandou-colocar-snipers-no-7-de-setembro-em-brasilia.html
IBGE tem celular com urna eletrônica para roubar biometria de eleitores de Bolsonaro #boato,9/7/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ibge-tem-celular-com-urna-eletronica-para-roubar-biometria-eleitores-de-bolsonaro.html
Leda Nagle e novo delegado da PF acabam de descobrir que STF e Lula mandaram matar Bolsonaro #boato,9/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/leda-nagle-e-novo-delegado-pf-acabam-descobrir-stf-lula-mandaram-matar-bolsonaro.html
